id,name_ru,category,calories_100g,protein_100g,fat_100g,carbs_100g,potassium_mg_100g,magnesium_mg_100g,sodium_mg_100g,iron_mg_100g,vit_c_mg_100g,portion_g,shelf_life_days
food_01,Гречневая крупа,grains,343,12.6,3.3,62.1,380.0,200.0,1.0,6.7,0.0,80,730
food_02,Рис пропаренный / басмати,grains,350,7.5,0.7,77.0,150.0,25.0,5.0,1.2,0.0,80,730
food_03,Овсяные хлопья (традиционные),grains,366,13.0,6.2,63.0,380.0,135.0,5.0,4.3,0.0,70,365
food_04,Овсяные хлопья быстрой варки,grains,360,12.0,6.0,64.0,350.0,120.0,10.0,4.0,0.0,60,365
food_05,Макароны твердых сортов,grains,350,12.0,1.5,71.0,180.0,50.0,6.0,1.8,0.0,80,730
food_06,Картофельные хлопья (сухое пюре),grains,340,8.0,0.5,75.0,1600.0,70.0,80.0,2.0,15.0,60,365
food_07,Кускус,grains,350,12.5,1.0,72.0,160.0,44.0,10.0,1.1,0.0,70,730
food_08,Булгур,grains,342,12.3,1.3,69.0,410.0,164.0,17.0,2.5,0.0,80,730
food_09,Красная чечевица (колотая),grains,314,24.0,1.5,50.0,670.0,70.0,5.0,6.5,1.5,70,730
food_10,Сублимированная каша с мясом,grains,380,11.0,7.0,68.0,300.0,110.0,350.0,3.5,0.0,50,730
food_11,Яичная лапша быстрого приготовления,grains,384,14.0,4.5,71.0,190.0,40.0,30.0,2.2,0.0,70,365
food_12,Кукурузная крупа (полента),grains,337,8.3,1.2,73.0,140.0,30.0,5.0,2.7,0.0,70,365
food_13,Сушеное мясо (джерки),proteins,410,55.0,15.0,11.0,600.0,45.0,1800.0,5.0,0.0,40,365
food_14,Сублимированная говядина (фарш),proteins,510,65.0,28.0,0.0,850.0,60.0,400.0,7.5,0.0,35,1095
food_15,Сублимированная курица / индейка,proteins,480,72.0,20.0,0.0,800.0,55.0,350.0,3.5,0.0,35,1095
food_16,Сырокопченая колбаса,proteins,490,22.0,45.0,1.0,340.0,25.0,1600.0,2.8,0.0,50,120
food_17,Твердый выдержанный сыр (Пармезан),proteins,392,35.5,26.0,3.2,95.0,44.0,1400.0,0.8,0.0,40,90
